3856,3857,3870
3841,3857,3856
3840,3856,3839
1265,1313,1170
1410,1361,1314
1361,1265,1314
1265,1361,1313
1558,1606,1508
3857,3858,3870
3858,3843,3870
3871,3844,3860
1218,1265,1170
1265,1218,1314
1030,1123,1170
1123,1218,1170
1218,1123,1171
95,119,72
2027,1977,1928
1829,1730,1780
1313,1409,1458
1361,1409,1313
1409,1507,1458
1507,1556,1458
1606,1557,1508
2779,2733,2826
2965,2920,2875
2920,2965,3009
2965,3053,3009
3053,2965,3010
3872,3871,3860
3564,3599,3632
3599,3564,3529
3529,3492,3455
3564,3492,3529
3456,3494,3530
3493,3529,3455
3493,3456,3530
3721,3693,3632
3858,3824,3843
3859,3871,3870
3843,3859,3870
3859,3844,3871
3825,3859,3843
3859,3825,3844
298,264,232
444,370,407
554,594,439
446,372,409
895,849,805
805,849,719
849,894,719
594,635,439
762,805,719
806,762,720
849,939,894
939,849,895
1077,1123,1030
1123,1077,1171
202,233,232
121,95,72
11,1,2
25,12,43
12,25,2
25,11,2
0,7,6
38,7,21
30,17,48
1878,1829,1928
1977,1878,1928
1927,1878,1977
961,916,871
917,961,871
962,917,872
917,1007,961
1007,917,962
2138,2088,2039
2283,2184,2234
1787,1837,1886
1837,1936,1886
2087,2137,2186
3817,3795,3838
3795,3818,3838
1312,1457,1408
1457,1312,1217
1555,1457,1703
1652,1554,1604
1506,1555,1604
1554,1506,1604
1506,1457,1555
1456,1506,1554
1457,1506,1408
1506,1456,1408
1802,1752,1703
1752,1653,1703
1653,1555,1703
1555,1653,1604
893,848,676
2089,2138,2039
3749,3798,3839
2692,2740,2786
2740,2692,2645
2549,2597,2644
2597,2692,2644
2692,2597,2645
2596,2549,2644
1459,1361,1410
1459,1409,1361
1459,1410,1508
1409,1459,1507
1557,1459,1508
1459,1557,1507
1605,1556,1507
1557,1605,1507
1556,1605,1654
1656,1705,1606
1656,1558,1607
1656,1606,1558
2066,2115,2016
2165,2066,2116
2066,2165,2115
2555,2506,2458
2063,1964,2014
1964,2063,2013
1266,1218,1171
1218,1266,1314
1558,1509,1607
1807,1857,1906
2740,2833,2786
2833,2740,2787
2733,2780,2826
2780,2872,2826
2872,2917,2826
2917,2779,2826
2917,3094,2732
2779,2917,2732
2692,2739,2644
2739,2692,2786
3224,3183,3265
3224,3140,3183
3051,3094,3007
3565,3599,3529
3565,3493,3530
3493,3565,3529
3528,3492,3564
3454,3528,3491
3528,3454,3492
3494,3419,3457
3419,3494,3456
3179,3050,3006
2239,2338,2288
2290,2339,2240
2541,2444,2297
3630,3663,3693
3693,3663,3632
3663,3631,3632
3662,3630,3693
3721,3662,3693
3630,3662,3596
3663,3597,3631
3597,3663,3630
3774,3748,3632
3748,3721,3632
3720,3748,3774
3453,3415,3377
3377,3415,3337
3415,3453,3490
3842,3858,3857
3842,3824,3858
3824,3804,3843
3804,3825,3843
3825,3804,3782
3844,3826,3860
333,368,298
368,332,298
332,264,298
403,366,331
403,331,367
95,120,119
370,335,407
482,444,407
554,515,595
515,554,439
677,635,720
677,762,719
762,677,720
439,677,719
635,677,439
636,554,595
554,636,594
721,764,807
763,806,720
763,721,807
851,896,806
851,763,807
763,851,806
895,850,940
850,896,940
850,895,805
896,850,806
762,850,805
850,762,806
984,1030,894
939,984,894
984,939,1031
984,1077,1030
1077,984,1031
1032,985,940
939,985,1031
985,895,940
985,939,895
335,300,267
300,335,370
18,34,6
149,177,122
52,73,72
34,52,72
96,121,72
96,73,122
73,96,72
3,4,13
3,12,2
15,28,5
12,26,43
44,26,13
26,3,13
3,26,12
24,1,11
61,25,43
733,776,819
776,864,819
864,776,820
732,818,774
772,816,860
7,20,6
38,20,7
94,71,33
17,31,48
46,15,29
15,46,28
1719,1818,1768
1818,1867,1768
1823,1873,1922
1872,1823,1922
1823,1872,1773
1628,1727,1677
1528,1479,1430
1479,1528,1577
1724,1823,1773
1479,1381,1430
1381,1479,1429
1480,1528,1430
1879,1829,1780
1829,1879,1928
1978,2027,1928
1879,1978,1928
1978,1879,1929
1828,1878,1927
1730,1681,1780
1632,1681,1583
1535,1584,1486
881,927,971
793,881,836
838,928,882
880,792,836
792,880,835
454,492,530
616,536,576
464,501,426
501,463,426
540,501,464
501,540,579
830,875,920
1006,916,961
1534,1436,1486
1584,1534,1486
1534,1632,1583
1534,1584,1632
826,783,871
916,826,871
826,740,783
740,826,782
1009,1056,1102
1007,1054,1100
1054,1007,962
875,965,920
965,1010,920
1010,965,1057
1058,966,1012
1586,1488,1537
1488,1586,1536
1342,1294,1390
1342,1389,1293
1586,1635,1684
1635,1586,1537
1633,1535,1585
1633,1584,1535
1743,1644,1694
1644,1596,1694
1596,1644,1546
1940,1990,2039
1990,2089,2039
1941,1990,1891
1990,1940,1891
2088,1989,2039
1989,1940,2039
1890,1989,1939
1989,1890,1940
1793,1743,1694
2034,2133,2083
2133,2034,2084
2283,2233,2184
1838,1888,1937
1936,1986,2035
2033,2132,2082
2132,2033,2083
2280,2379,2329
2984,3072,3028
2712,2617,2665
2617,2712,2664
2849,2894,2802
2896,2804,2851
2804,2896,2850
3797,3773,3774
3817,3770,3795
3770,3744,3795
3716,3770,3743
3744,3770,3716
3818,3819,3838
3819,3797,3774
3119,3204,3161
3204,3119,3162
3164,3206,3121
2990,2945,2900
2945,2854,2900
3284,3364,3324
3440,3364,3403
1652,1603,1554
1603,1701,1651
1603,1652,1701
1702,1652,1604
1653,1702,1604
1702,1653,1752
938,848,893
401,437,365
475,401,438
401,475,437
1551,1649,1600
1312,1264,1217
1217,1169,1076
1264,1169,1217
1169,1264,1216
1029,893,1076
1074,1027,982
979,889,935
2887,2841,2795
3722,3695,3749
3722,3749,3664
3694,3722,3664
3722,3694,3666
3695,3722,3666
3821,3840,3839
3027,3071,3114
3071,3157,3114
2076,2027,2126
2175,2076,2126
2027,2076,1977
2258,2357,2307
2693,2740,2645
2740,2693,2787
1655,1557,1606
1655,1605,1557
1705,1655,1606
1754,1655,1705
1905,1855,1806
1656,1755,1705
2065,2115,2164
2115,2065,2016
2166,2117,2216
2263,2214,2313
2214,2263,2164
2115,2214,2164
2165,2214,2115
2602,2506,2555
2602,2555,2650
2409,2361,2458
2506,2409,2458
2362,2263,2313
2655,2703,2750
2359,2260,2310
2065,2114,2015
2114,2065,2164
2263,2213,2164
2163,2213,2262
2213,2114,2164
2114,2213,2163
1964,1914,1865
1914,1964,2013
1915,1965,2014
1964,1915,2014
1915,1964,1865
2064,2114,2163
2114,2064,2015
1965,2064,2014
2064,1965,2015
2013,2112,2062
2063,2112,2013
2112,2161,2062
2112,2063,2162
1816,1865,1766
1816,1915,1865
1967,2066,2016
1965,1916,2015
1867,1817,1768
1916,1817,1867
1716,1667,1766
1667,1569,1618
1172,1220,1267
1220,1125,1173
1125,1220,1172
1077,1124,1171
1124,1077,1031
1219,1172,1267
1219,1266,1171
1124,1219,1171
1219,1124,1172
1315,1219,1267
1219,1315,1266
1856,1905,1806
1856,1807,1906
1955,1856,1906
1856,1955,1905
1757,1856,1806
1856,1757,1807
1857,1956,1906
1907,1956,1857
1330,1234,1282
1185,1138,1233
1668,1718,1767
1817,1718,1768
1718,1817,1767
3665,3694,3664
3634,3665,3664
3601,3634,3664
